ID;QALD;Keywords Extracted;Longest QT-Path;Precision;Recall;F1-Score
0;After whom is the Riemannian geometry named?;named;exponential map,named after;0;0;null
8;What is the boiling point of water?;water;;null;0;null
26;From which country are the beagles originally from?;beagles;country;0.005;1;0.009950248756218907
36;In which manner did Hemingway die?;manner,die;Hemingway (match);0;0;null
39;How high is the Cologne Cathedral ?;;the Cologne Cathedral (match);0;0;null
115;What is TNFAIP1 ?;;;null;0;null
132;In which country is Oberirrach ?;country;Oberirrach (match),country;1;1;1
183;What are the spin-offs of Breaking Bad?;spin offs;Breaking Bad (match),series spin-off;0;0;null
185;What was the key event related to Salvador Dalí?;event,related;Salvador Dalí (match),significant event;1;1;1
193;What did the suffragettes stand for?;stand;;null;0;null
197;What happened to the dinosaurs ?;dinosaurs;;null;null;null
204;What is the coordinate location of Shenzhen ?;coordinate location;Shenzhen (match),coordinate location;0.07692307692307693;1;0.14285714285714288
205;What is the Erlangen program ?;;Erlangen (match);0;0;null
210;Who was the partner of Allen Ginsberg?;partner;Allen Ginsberg (match),spouse;0;0;null
213;What is the english nickname of Ella Fitzgerald?;Ella Fitzgerald (NE);english (match);0;0;null
215;What are the occupations of Nat King Cole?;occupations;Nat King Cole (match),occupation;1;1;1
216;what is the official language of iran?;language;iran (match),languages spoken, written or signed;0;0;null
217;What is the population in Freiburg ?;population;Freiburg (match),population;0.00847457627118644;1;0.01680672268907563
219;What does Ray-Ban produce primarily?;produce;Ray-Ban (match);0;0;null
231;What albums has Atif Aslam been on?;albums;Atif Aslam (match),album;1;1;1
232;What was Ada Lovelace’s noble title?;title;Ada Lovelace’s (match),title;0;0;null
233;What was Janus the god of?;god;Janus (match),worshipped by;0;0;null
240;When did Allen Ginsberg die?;die;Allen Ginsberg (match);0;0;null
241;When did Ella Fitzgerald die?;die;Ella Fitzgerald (match);0;0;null
244;When did Rumi die?;die;Rumi (match);0;0;null
250;When did the Weimar Republic start?;start;the Weimar Republic (match);0;0;null
251;When did World War II officially end?;end;World War II (match),end cause;0;0;null
254;When the film Red Notice was released?;released;Red Notice (match),publication date;0.0625;1;0.11764705882352941
255;When was Cologne Cathedral built?;built;Cologne Cathedral (match);0;0;null
256;What can be done against gout?;;;null;0;null
259;When was Marlene Dietrich born?;born;Marlene Dietrich (match),date of birth;1;1;1
260;When was Penicillin discovered?;discovered;penicillin;0;0;null
261;When was Rumi born?;born;Rumi (match),date of birth;0.058823529411764705;1;0.1111111111111111
262;When was the beginning of Romanticism ?;beginning;Romanticism (match);0;0;null
263;When was the Echo Music Prize abolished?;abolished;the Echo Music Prize (match),dissolved, abolished or demolished date;1;1;1
265;When was the Hamburg Airport inaugurated?;inaugurated;the Hamburg Airport (match),date of official opening;0;0;null
266;When was the Hamburg S-Bahn officially opened?;opened;the Hamburg S- (match),officially opened by;0;0;null
