ID;QALD;Keywords Extracted;Longest QT-Path;Precision;Recall;F1-Score
0;After whom is the Riemannian geometry named?;Riemannian geometry (NE),named;Riemannian geometry (match),named after;0.2;1;0.33333333333333337
8;What is the boiling point of water?;boiling point,water;;null;0;null
26;From which country are the beagles originally from?;country,beagle;country;0.005;1;0.009950248756218907
36;In which manner did Hemingway die?;Hemingway (NE),manner,die;Hemingway (match);0;0;null
39;How high is the Cologne Cathedral ?;Cologne Cathedral;;null;0;null
115;What is TNFAIP1 ?;tnfaip1;;null;0;null
132;In which country is Oberirrach ?;Oberirrach (NE),country;Oberirrach (match),country;1;1;1
183;What are the spin-offs of Breaking Bad?;spin,off,Breaking;spin-off,series spin-off;0;0;null
185;What was the key event related to Salvador Dalí?;Salvador Dalí (NE),event,related;Salvador Dalí (match),significant event;1;1;1
193;What did the suffragettes stand for?;suffragette,stand;;null;0;null
197;What happened to the dinosaurs ?;happened,dinosaur;;null;null;null
204;What is the coordinate location of Shenzhen ?;Shenzhen (NE),coordinate location;Shenzhen (match),coordinate location;0.07692307692307693;1;0.14285714285714288
205;What is the Erlangen program ?;Erlangen program (NE);Erlangen program (match);0;0;null
210;Who was the partner of Allen Ginsberg?;Allen Ginsberg (NE),partner;Allen Ginsberg (match),spouse;0;0;null
213;What is the english nickname of Ella Fitzgerald?;english nickname (NE),Ella Fitzgerald (NE);english nickname (match);0;0;null
215;What are the occupations of Nat King Cole?;King Cole (NE),occupation;King Cole (match),occupation;0.6666666666666666;1;0.8
216;what is the official language of iran?;iran (NE),language;iran (match),languages spoken, written or signed;0;0;null
217;What is the population in Freiburg ?;Freiburg (NE),population;Freiburg (match),population;0.00847457627118644;1;0.01680672268907563
219;What does Ray-Ban produce primarily?;Ray Ban,produce;parent;0;0;null
231;What albums has Atif Aslam been on?;Atif Aslam (NE),album;Atif Aslam (match),album;1;1;1
232;What was Ada Lovelace’s noble title?;Ada Lovelace (NE),title;Ada Lovelace (match),title;0;0;null
233;What was Janus the god of?;Janus,god;;null;0;null
240;When did Allen Ginsberg die?;Allen Ginsberg (NE),die;Allen Ginsberg (match);0;0;null
241;When did Ella Fitzgerald die?;Ella Fitzgerald (NE),die;Ella Fitzgerald (match);0;0;null
244;When did Rumi die?;Rumi (NE),die;Rumi (match);0;0;null
250;When did the Weimar Republic start?;Weimar Republic (NE),start;Weimar Republic (match);0;0;null
251;When did World War II officially end?;World War II (NE),end;World War II (match),end cause;0;0;null
254;When the film Red Notice was released?;film Red Notice,released;;null;0;null
255;When was Cologne Cathedral built?;Cologne Cathedral (NE),built;Cologne Cathedral (match);0;0;null
256;What can be done against gout?;gout;;null;0;null
259;When was Marlene Dietrich born?;Marlene Dietrich (NE),born;Marlene Dietrich (match),date of birth;1;1;1
260;When was Penicillin discovered?;penicillin,discovered;penicillin;0;0;null
261;When was Rumi born?;Rumi (NE),born;Rumi (match),date of birth;0.058823529411764705;1;0.1111111111111111
262;When was the beginning of Romanticism ?;beginning;beginning;0;0;null
263;When was the Echo Music Prize abolished?;Echo Music Prize,abolished;;null;0;null
265;When was the Hamburg Airport inaugurated?;Hamburg Airport (NE),inaugurated;Hamburg Airport (match),date of official opening;0;0;null
266;When was the Hamburg S-Bahn officially opened?;Hamburg S Bahn (NE),opened;Hamburg S Bahn (match),officially opened by;0;0;null
269;When was the university of Cambridge founded?;Cambridge (NE),university,founded;Cambridge (match);0;0;null
270;When was the University of Hamburg founded?;University,Hamburg,founded;university;0;0;null
271;When was the University of Saskatchewan founded?;University,Saskatchewan,founded;university;0;0;null
272;When was the Vatican City created?;Vatican City (NE),created;Vatican City (match),inception;0.25;1;0.4
273;When was United Fruit Company founded?;United Fruit Company (NE),founded;United Fruit Company (match),founded by;0;0;null
274;Where did Trotzky die?;Trotzky (NE),die;Trotzky (match);0;0;null
276;Where did the Hambach Festival happen?;Hambach Festival,happen;;null;0;null
278;Where does the Nutri-Score originate from?;nutri,score,originate;;null;0;null
282;Where did the psychedelic band “Khruangbin” form?;band,Khruangbin form;concert band;0;0;null
283;Where was Caesar murdered?;Caesar (NE),murdered;Caesar (match);0;0;null
285;Where was Roland Corporation founded?;Roland Corporation (NE),founded;Roland Corporation (match),founded by;0;0;null
287;Who developed the Erlangen program?;Erlangen program (NE),developed;Erlangen program (match);0.125;1;0.2222222222222222
292;Which art movement was Yoko Ono part of?;Yoko Ono (NE),art movement,part;Yoko Ono (match),movement;1;1;1
294;What caused Kobe Bryant's Death?;Kobe Bryant (NE),caused,death;Kobe Bryant (match);0;0;null
295;What are the opposites of zero?;opposite;opposite;0;0;null
314;What is the offical language of Taipei?;Taipei (NE),language;Taipei (match),language of work or name;0;0;null
323;Who developed WordNet?;developed,WordNet;developer,WordNet 3.1 Synset ID;0;0;null
324;Who are the actresses in Portrait of a Lady on Fire?;actress,portrait,lady,fire;actress;0;0;null
326;Who created the Turing machine?;created,Turing machine;created during;null;0;null
327;When was the Hambach Castle built?;Hambach Castle (NE),built;Hambach Castle (match),château;0;0;null
328;Who died at the North Pole?;North Pole (NE),died;North Pole (match),place of death;0.5;1;0.6666666666666666
329;Who directed Anne with an E ?;Anne (NE),directed,e;Anne (match),director;0;0;null
330;Who wrote "Prototypical Networks for Few-shot Learning"?;wrote,network,shot,learning;;null;0;null
331;Who founded “The Blue Rider”?;founded,Blue Rider;founded by;0;0;null
332;Who founded the Worpswede artist colony ?;Worpswede artist colony (NE),founded;Worpswede artist colony (match),founded by;1;1;1
333;Who is the author of “Convenience Store Woman” ?;author (NE),Convenience Store Woman;author (match);0;0;null
339;Who is the publisher of Smite ?;publisher (NE),Smite;publisher (match);0;0;null
340;Who wrote the Erlangen program?;Erlangen program (NE),wrote;Erlangen program (match);0.125;1;0.2222222222222222
346;Who was the creator of Boo-Boo Bear ?;creator (NE),Boo Boo Bear;creator (match);0;0;null
347;Who was the creator of Unbreakable Kimmy Schmidt ?;creator (NE),Kimmy Schmidt (NE);creator (match);0;0;null
349;Who founded the Roland Corporation?;Roland Corporation (NE),founded;Roland Corporation (match),founded by;0.5;1;0.6666666666666666
351;Who were the parents of Socrates ?;Socrates (NE),parent;Socrates (match),mother;1;0.5;0.6666666666666666
352;Who wrote Anne of Green Gables ?;Anne (NE),Green Gables (NE),wrote;Anne (match);0;0;null
354;Who's the author of The Hellbound Heart ?;author (NE),Hellbound Heart;author (match);0;0;null
355;Whom did Clara Westhoff marry?;Clara Westhoff (NE),marry;Clara Westhoff (match);0;0;null
357;When was Athens founded?;Athens (NE),founded;Athens (match),founded by;0;0;null
381;What is the twitter name of Running Wild?;twitter name,Running;Twitter username,cross country running;0;0;null
389;In what country is the Kandahar-downhill?;country,Kandahar;country;0.005;1;0.009950248756218907
393;What is the Fujiyama made of?;Fujiyama (NE),made;Fujiyama (match);0;0;null
