QALD; Keywords Extracted; Longest QT-Path; Precision; Recall; F1-Score
After whom is the Riemannian geometry named?;Riemannian geometry (NE),named;Riemannian geometry (match),named after;0.2;1;0.33333333333333337
Which animal participated in a military operation with the Australian Defence Force?;Australian Defence Force (NE),animal,participated,operation;Australian Defence Force (match);0;0;null
among the characters in the witcher, who has two unmarried partners, Yennefer of Vengerberg and Triss Merigold?;Yennefer (NE),Vengerberg (NE),character,witcher,partner,Triss Merigold;Yennefer (match),Vengerberg (match),video game character;1;1;1
among the founders of tencent company, who has been member of national people’s congress?;founder,tencent company,member,people,congress;founded by;0;0;null
among the other representative work of the author of hunter x hunter, which one is talking about middle school student?;author (NE),hunter x (NE),hunter (NE),school student (NE),work,talking;author (match);0;0;null
On which stock exchanges are Siemens AG shares traded?;Siemens AG (NE),stock,exchange,share,traded;Siemens AG (match),rolling stock class;0;0;null
Apart from the book series the witcher, name all of the author’s notable work.;author (NE),book series,witcher,name,work;author (match);0;0;null
are brooke raboutou and colin duffy from same state of the usa?;usa (NE),raboutou,colin,duffy,state;usa (match);0;null;null
What is the boiling point of water?;boiling point,water;;null;0;null
At which school was Yayoi Kusama educated at?;Yayoi Kusama (NE),school,educated;Yayoi Kusama (match);0;0;null
Which High School did Allen Ginsberg attend?;Allen Ginsberg (NE),High School,attend;Allen Ginsberg (match);0;0;null
On which island is the Indonesian capital located?;island,capital,located;island,capital,located in the statistical territorial entity;0;0;null
can i play don't starve on play station 4?;play,starve,play station;play;0;null;null
How many General Secretaries of the CPSU were there before Leonid Brezhnev?;General Secretaries (NE),CPSU (NE),Leonid Brezhnev (NE);General Secretaries (match);0;0;null
How many different presidents of Russia have there been that took the position after 1990?;Russia (NE),president,took,position;Russia (match),chairperson;0;0;null
Did adam ondra win a medal in the 2020 summer olympics?;adam ondra,win,medal,summer olympics;;null;null;null
Did the Chicago Bulls win at least two seasons of the NBA championship?;Chicago Bulls (NE),NBA championship (NE),win,season;Chicago Bulls (match);0;null;null
Did Haruki Murakami receive the Nobel Prize in Literature?;Haruki Murakami (NE),receive,Nobel Prize,Literature;Haruki Murakami (match);0;null;null
Did Kobe Bryant leave the Lakers when LeBron James joined that team?;Kobe Bryant (NE),Lakers (NE),LeBron James (NE),leave,joined,team;Kobe Bryant (match);0;null;null
Did Rawson Marshall Thurber, the director of Red Notice also direct Titanic?;Rawson Marshall Thurber (NE),director (NE),Red Notice (NE),Titanic;Rawson Marshall Thurber (match);0;null;null
