ID;QALD;IDS SPARQL;Keywords Extracted;instrTree;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Runtime;Nb Call
9;At which school was Yayoi Kusama educated at?;undefined;school(undefined),Yayoi Kusama(NE),educated(undefined);;school,educated;vocational school,education;0;0;0;19;319083
10;Which High School did Allen Ginsberg attend?;undefined;High School(undefined),Allen Ginsberg(NE),attend(undefined);;High School;secondary school;0;0;0;5;55695
40;How is the Harz called in Mandarin Chinese?;undefined;Harz(NE),called(undefined),Mandarin Chinese(NE);;Mandarin Chinese (NE);Mandarin Chinese (match);0;0;0;5;46586
125;In which federal state is the Veltins brewery headquarter?;undefined;state(undefined),Veltins brewery(undefined);;state;federated state;0;0;0;10;62071
126;In which stadium do the New York Yankees play?;undefined;stadium(undefined),New York Yankees(NE),play(undefined);;New York Yankees (NE);New York Yankees (match);0;0;0;2;25319
127;In which countries is the Himalayas located?;undefined;countries(undefined),Himalayas(NE),located(undefined);;Himalayas (NE),located,countries;Himalayas (match),located in protected area,country;1;0.2857142857142857;0.4444444444444445;7;92800
130;In which country did the United Fruit Company have their headquarters?;undefined;country(undefined),United Fruit Company(NE),headquarters(undefined);;United Fruit Company (NE),headquarters,country;United Fruit Company (match),headquarters location,country;0.5;1;0.6666666666666666;6;35681
133;In which country was Spotify created?;undefined;country(undefined),Spotify(NE),created(undefined);;country;territory;0;0;0;16;1023179
138;In which year did ABBA publish their album The Visitors ?;undefined;year(undefined),ABBA(NE),publish(undefined),album(undefined),The Visitors(NE);;The Visitors (NE);The Visitors (match);0;0;0;3;93574
139;In which year was the author of “The Vanishing Half” born?;undefined;year(undefined),author(undefined),The Vanishing Half(NE),born(undefined);;year;year-ending;0;0;0;6;186450
163;Of which political party was Joseph Beuys a member?;undefined;party(undefined),Joseph Beuys(NE),member(undefined);;member;extremity;0;0;0;18;52624
164;In what year did the Hollywood Walk of Fame open?;undefined;year(undefined),Hollywood Walk of Fame(NE);;Hollywood Walk of Fame (NE);Hollywood Walk of Fame (match);0;0;0;2;7609
165;on which video streaming services can i watch hunter x hunter anime series?;undefined;video streaming services(undefined),watch(undefined),hunter x hunter anime series(undefined);;;;0;0;0;1;3203
