ID;QALD;Keywords Extracted;Longest QT-Path;Precision;Recall;F1-Score
0;After whom is the Riemannian geometry named?;Riemannian geometry,named;exponential map,named after;0;0;null
8;What is the boiling point of water?;boiling point,water;;null;0;null
26;From which country are the beagles originally from?;country,beagle;country;0;0;null
36;In which manner did Hemingway die?;Hemingway (NE),manner,die;Hemingway (match);0;0;null
39;How high is the Cologne Cathedral ?;the Cologne Cathedral (NE);the Cologne Cathedral (match);0;0;null
115;What is TNFAIP1 ?;tnfaip1;;null;0;null
132;In which country is Oberirrach ?;Oberirrach (NE),country;Oberirrach (match),country;1;1;1
183;What are the spin-offs of Breaking Bad?;Breaking Bad (NE),spin,off;Breaking Bad (match),series spin-off,series spin-off;1;1;1
185;What was the key event related to Salvador Dalí?;Salvador Dalí (NE),event,related;Salvador Dalí (match),significant event;1;1;1
193;What did the suffragettes stand for?;suffragette,stand;;null;0;null
197;What happened to the dinosaurs ?;happened,dinosaur;;null;null;null
204;What is the coordinate location of Shenzhen ?;Shenzhen (NE),coordinate location;Shenzhen (match),coordinate location;0.07692307692307693;1;0.14285714285714288
205;What is the Erlangen program ?;Erlangen (NE);Erlangen (match);0;0;null
210;Who was the partner of Allen Ginsberg?;Allen Ginsberg (NE),partner;Allen Ginsberg (match),spouse;0;0;null
213;What is the english nickname of Ella Fitzgerald?;english (NE),Ella Fitzgerald (NE);english (match);0;0;null
215;What are the occupations of Nat King Cole?;Nat King Cole (NE),occupation;Nat King Cole (match),occupation;1;1;1
216;what is the official language of iran?;iran (NE),language;iran (match),languages spoken, written or signed;0;0;null
217;What is the population in Freiburg ?;Freiburg (NE),population;Freiburg (match),population;0.14285714285714285;1;0.25
219;What does Ray-Ban produce primarily?;Ray-Ban (NE),Ray Ban,produce;Ray-Ban (match);0;0;null
231;What albums has Atif Aslam been on?;Atif Aslam (NE),album;Atif Aslam (match),album;1;1;1
232;What was Ada Lovelace’s noble title?;Ada Lovelace’s (NE),title;Ada Lovelace’s (match),title;0;0;null
233;What was Janus the god of?;Janus (NE),god;Janus (match),worshipped by;0;0;null
240;When did Allen Ginsberg die?;Allen Ginsberg (NE),die;Allen Ginsberg (match);0;0;null
241;When did Ella Fitzgerald die?;Ella Fitzgerald (NE),die;Ella Fitzgerald (match);0;0;null
244;When did Rumi die?;Rumi (NE),die;Rumi (match);0;0;null
250;When did the Weimar Republic start?;the Weimar Republic (NE),start;the Weimar Republic (match);0;0;null
251;When did World War II officially end?;World War II (NE),end;World War II (match),end cause;0;0;null
254;When the film Red Notice was released?;Red Notice (NE),released;Red Notice (match),publication date;0.0625;1;0.11764705882352941
255;When was Cologne Cathedral built?;Cologne Cathedral (NE),built;Cologne Cathedral (match);0;0;null
256;What can be done against gout?;gout;;null;0;null
259;When was Marlene Dietrich born?;Marlene Dietrich (NE),born;Marlene Dietrich (match),date of birth;1;1;1
260;When was Penicillin discovered?;penicillin,discovered;penicillin;0;0;null
261;When was Rumi born?;Rumi (NE),born;Rumi (match),date of birth;0.058823529411764705;1;0.1111111111111111
262;When was the beginning of Romanticism ?;Romanticism (NE),beginning;Romanticism (match);0;0;null
263;When was the Echo Music Prize abolished?;the Echo Music Prize (NE),abolished;the Echo Music Prize (match),dissolved, abolished or demolished date;1;1;1
265;When was the Hamburg Airport inaugurated?;the Hamburg Airport (NE),inaugurated;the Hamburg Airport (match),date of official opening;0;0;null
266;When was the Hamburg S-Bahn officially opened?;the Hamburg S- (NE),Hamburg S Bahn,opened;the Hamburg S- (match);0;0;null
269;When was the university of Cambridge founded?;the university of Cambridge (NE),founded;the university of Cambridge (match),founded by;0;0;null
270;When was the University of Hamburg founded?;the University of Hamburg (NE),founded;the University of Hamburg (match),founded by;0;0;null
271;When was the University of Saskatchewan founded?;the University of Saskatchewan (NE),founded;the University of Saskatchewan (match),inception;0.14285714285714285;1;0.25
272;When was the Vatican City created?;the Vatican City (NE),created;the Vatican City (match),inception;0;0;null
273;When was United Fruit Company founded?;United Fruit Company (NE),founded;United Fruit Company (match),founded by;0;0;null
274;Where did Trotzky die?;Trotzky (NE),die;Trotzky (match);0;0;null
276;Where did the Hambach Festival happen?;the Hambach Festival (NE),happen;the Hambach Festival (match);0;0;null
278;Where does the Nutri-Score originate from?;nutri,score,originate;;null;0;null
283;Where was Caesar murdered?;Caesar (NE),murdered;Caesar (match);0;0;null
285;Where was Roland Corporation founded?;Roland Corporation (NE),founded;Roland Corporation (match),founded by;0;0;null
287;Who developed the Erlangen program?;Erlangen (NE),developed;Erlangen (match),developer;0;0;null
292;Which art movement was Yoko Ono part of?;Yoko Ono (NE),art movement,part;Yoko Ono (match),movement;1;1;1
294;What caused Kobe Bryant's Death?;Kobe Bryant's (NE),caused,death;Kobe Bryant's (match);0;0;null
295;What are the opposites of zero?;opposite;opposite;0;0;null
314;What is the offical language of Taipei?;Taipei (NE),language;Taipei (match),language of work or name;0;0;null
323;Who developed WordNet?;WordNet (NE),developed;WordNet (match),developer;0.5;1;0.6666666666666666
