ID;QALD;Keywords Extracted;Longest QT-Path;Precision;Recall;F1-Score
9;At which school was Yayoi Kusama educated at?;school,educated;Yayoi Kusama (match);0;0;null
10;Which High School did Allen Ginsberg attend?;High School,attend;Allen Ginsberg (match);0;0;null
12;can i play don't starve on play station 4?;play,starve;play station 4 (match),organization;0;null;null
17;Did Haruki Murakami receive the Nobel Prize in Literature?;the Nobel Prize in Literature (NE),receive,Nobel Prize;Haruki Murakami (match);0;null;null
40;How is the Harz called in Mandarin Chinese?;Mandarin Chinese (NE),called;Harz (match);0;0;null
125;In which federal state is the Veltins brewery headquarter?;state;Veltins (match),country;0;0;null
126;In which stadium do the New York Yankees play?;stadium,play;the New York Yankees (match);0;0;null
127;In which countries is the Himalayas located?;countries,located;Himalayas (match),country;1;1;1
130;In which country did the United Fruit Company have their headquarters?;country,headquarters;the United Fruit Company (match),country,headquarters location;0;0;null
133;In which country was Spotify created?;country,created;Spotify (match),country;0.3333333333333333;1;0.5
138;In which year did ABBA publish their album The Visitors ?;The Visitors (NE),year,publish,album;ABBA (match);0;0;null
139;In which year was the author of “The Vanishing Half” born?;year,author,Vanishing,born;The Vanishing Half (match);0;0;null
163;Of which political party was Joseph Beuys a member?;party,member;Joseph Beuys (match),member of political party,member of political party;0;0;null
164;In what year did the Hollywood Walk of Fame open?;year,Hollywood Walk;the Hollywood Walk of Fame (match);0;0;null
165;on which video streaming services can i watch hunter x hunter anime series?;watch,video streaming services;hunter x hunter (match);0;0;null
167;In what year did the district of Höxter come into existence?;year,district,come,existence;Höxter (match);0;0;null
173;Through which countries does the Danube go?;countries,go;Danube (match),country;0.5555555555555556;1;0.7142857142857143
174;What do sperm whales mainly eat?;eat;Physeter macrocephalus;0;0;null
184;Which river flows through the Grand Canyon?;river,flows;the Grand Canyon (match);0;0;null
189;What are the professions of John Lennon’s sons?;professions,sons;John Lennon’s (match);0;0;null
192;What colors does the German national flag have?;colors,flag;German (match);0;0;null
198;What instruments did Louis Armstrong play?;instruments,play;Louis Armstrong (match),instrument;1;1;1
199;what did the author of the phrase: "Alea iacta est" die of?;phrase,Alea iacta est,die;author,phrase;0;0;null
200;What is the binary gender of the partner of Allen Ginsberg ?;gender,partner;Allen Ginsberg (match),sex or gender;0.5;1;0.6666666666666666
