ID;QALD;IDS SPARQL;Keywords Extracted;instrTree.txt;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Nb Call;Runtime
9;At which school was Yayoi Kusama educated at?;undefined;school(undefined),Yayoi Kusama(NE),educated(undefined);;Yayoi Kusama (NE),educated;Yayoi Kusama (match),educated at;1;1;1;3;22862
10;Which High School did Allen Ginsberg attend?;undefined;High School(undefined),Allen Ginsberg(NE),attend(undefined);;;;0;0;0;9;92537
40;How is the Harz called in Mandarin Chinese?;undefined;Harz(NE),called(undefined),Mandarin Chinese(NE);;;;0;0;0;28;138137
125;In which federal state is the Veltins brewery headquarter?;undefined;state(undefined),Veltins brewery(undefined);;;;0;0;0;14;90594
126;In which stadium do the New York Yankees play?;undefined;stadium(undefined),New York Yankees(NE),play(undefined);;;;0;0;0;23;153559
127;In which countries is the Himalayas located?;undefined;countries(undefined),Himalayas(NE),located(undefined);;Himalayas (NE),countries;Himalayas (match),country;1;1;1;6;93067
130;In which country did the United Fruit Company have their headquarters?;undefined;country(undefined),United Fruit Company(NE),headquarters(undefined);;United Fruit Company (NE),country,headquarters;United Fruit Company (match),country,headquarters location;0;0;0;4;78237
133;In which country was Spotify created?;undefined;country(undefined),Spotify(NE),created(undefined);;Spotify (NE),country;Spotify (match),country of origin;1;1;1;6;374194
138;In which year did ABBA publish their album The Visitors ?;undefined;year(undefined),ABBA(NE),publish(undefined),album(undefined),The Visitors(NE);;;;0;0;0;253;12726084
139;In which year was the author of “The Vanishing Half” born?;undefined;year(undefined),author(undefined),The Vanishing Half”(NE),born(undefined);;;;0;0;0;34;1052983
163;Of which political party was Joseph Beuys a member?;undefined;party(undefined),Joseph Beuys(NE),member(undefined);;Joseph Beuys (NE),member;Joseph Beuys (match),member of political party;1;1;1;4;17947
164;In what year did the Hollywood Walk of Fame open?;undefined;year(undefined),Hollywood Walk of Fame(NE);;;;0;0;0;8;74112
165;on which video streaming services can i watch hunter x hunter anime series?;undefined;video streaming services(undefined),watch(undefined),hunter x hunter anime series(undefined);;video streaming services;video streaming service;0.015;1;0.02955665024630542;10;94917
167;In what year did the district of Höxter come into existence?;undefined;year(undefined),district(undefined),Höxter(NE),come(undefined),existence(undefined);;;;0;0;0;89;5445011
