ID;QALD;IDS SPARQL;Keywords Extracted;instrTree;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Runtime;Nb Call
9;At which school was Yayoi Kusama educated at?;undefined;school(undefined),Yayoi Kusama(NE),educated(undefined);ROOT[undefined: undefined]  school[1: 1]    Yayoi Kusama[2: 1]      educated[3: 1]    educated[2: 2]      Yayoi Kusama[3: 1]  Yayoi Kusama[1: 2]    school[2: 1]      educated[3: 1]    educated[2: 2]      school[3: 1]  educated[1: 3]    school[2: 1]      Yayoi Kusama[3: 1]    Yayoi Kusama[2: 2]      school[3: 1];;;0;0;0;107;274769
10;Which High School did Allen Ginsberg attend?;undefined;High School(undefined),Allen Ginsberg(NE),attend(undefined);ROOT[undefined: undefined]  High School[1: 1]    Allen Ginsberg[2: 1]      attend[3: 1]    attend[2: 2]      Allen Ginsberg[3: 1]  Allen Ginsberg[1: 2]    High School[2: 1]      attend[3: 1]    attend[2: 2]      High School[3: 1]  attend[1: 3]    High School[2: 1]      Allen Ginsberg[3: 1]    Allen Ginsberg[2: 2]      High School[3: 1];Allen Ginsberg (NE),attend,High School;Allen Ginsberg (match),educated at,high school;1;1;1;10;19598
12;can i play don't starve on play station 4?;undefined;play(undefined),starve(undefined),play station 4(NE);ROOT[undefined: undefined]  play[1: 1]    starve[2: 1]      play station 4[3: 1]    play station 4[2: 2]      starve[3: 1]  starve[1: 2]    play[2: 1]      play station 4[3: 1]    play station 4[2: 2]      play[3: 1]  play station 4[1: 3]    play[2: 1]      starve[3: 1]    starve[2: 2]      play[3: 1];;;0;0;0;63;170196
17;animal;undefined;animal(undefined);ROOT[undefined: undefined]  animal[1: 1];animal;Animal;0;0;0;3;34032
40;How is the Harz called in Mandarin Chinese?;undefined;Harz(NE),called(undefined),Mandarin Chinese(NE);ROOT[undefined: undefined]  Harz[1: 1]    called[2: 1]      Mandarin Chinese[3: 1]    Mandarin Chinese[2: 2]      called[3: 1]  called[1: 2]    Harz[2: 1]      Mandarin Chinese[3: 1]    Mandarin Chinese[2: 2]      Harz[3: 1]  Mandarin Chinese[1: 3]    Harz[2: 1]      called[3: 1]    called[2: 2]      Harz[3: 1];;;0;0;0;75;119229
125;In which federal state is the Veltins brewery headquarter?;undefined;state(undefined),Veltins(NE),brewery(undefined);ROOT[undefined: undefined]  state[1: 1]    Veltins[2: 1]      brewery[3: 1]    brewery[2: 2]      Veltins[3: 1]  Veltins[1: 2]    state[2: 1]      brewery[3: 1]    brewery[2: 2]      state[3: 1]  brewery[1: 3]    state[2: 1]      Veltins[3: 1]    Veltins[2: 2]      state[3: 1];state,Veltins (NE),brewery;country,Veltins (match),brewery;0;0;0;9;46657
126;In which stadium do the New York Yankees play?;undefined;stadium(undefined),New York Yankees(NE),play(undefined);ROOT[undefined: undefined]  stadium[1: 1]    New York Yankees[2: 1]      play[3: 1]    play[2: 2]      New York Yankees[3: 1]  New York Yankees[1: 2]    stadium[2: 1]      play[3: 1]    play[2: 2]      stadium[3: 1]  play[1: 3]    stadium[2: 1]      New York Yankees[3: 1]    New York Yankees[2: 2]      stadium[3: 1];;;0;0;0;62;180488
127;In which countries is the Himalayas located?;undefined;countries(undefined),Himalayas(NE),located(undefined);ROOT[undefined: undefined]  countries[1: 1]    Himalayas[2: 1]      located[3: 1]    located[2: 2]      Himalayas[3: 1]  Himalayas[1: 2]    countries[2: 1]      located[3: 1]    located[2: 2]      countries[3: 1]  located[1: 3]    countries[2: 1]      Himalayas[3: 1]    Himalayas[2: 2]      countries[3: 1];countries,Himalayas (NE),located;country,Himalayas (match),location;0;0;0;5;58866
130;In which country did the United Fruit Company have their headquarters?;undefined;country(undefined),United Fruit Company(NE),headquarters(undefined);ROOT[undefined: undefined]  country[1: 1]    United Fruit Company[2: 1]      headquarters[3: 1]    headquarters[2: 2]      United Fruit Company[3: 1]  United Fruit Company[1: 2]    country[2: 1]      headquarters[3: 1]    headquarters[2: 2]      country[3: 1]  headquarters[1: 3]    country[2: 1]      United Fruit Company[3: 1]    United Fruit Company[2: 2]      country[3: 1];country,United Fruit Company (NE),headquarters;country,United Fruit Company (match),headquarters location;0;0;0;6;52157
133;In which country was Spotify created?;undefined;country(undefined),Spotify(NE),created(undefined);ROOT[undefined: undefined]  country[1: 1]    Spotify[2: 1]      created[3: 1]    created[2: 2]      Spotify[3: 1]  Spotify[1: 2]    country[2: 1]      created[3: 1]    created[2: 2]      country[3: 1]  created[1: 3]    country[2: 1]      Spotify[3: 1]    Spotify[2: 2]      country[3: 1];country,Spotify (NE),created;country,Spotify (match),inception;0;0;0;6;25807
