ID;QALD;IDS SPARQL;Keywords Extracted;instrTree.txt;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Runtime;Nb Call
9;At which school was Yayoi Kusama educated at?;undefined;school(undefined),Yayoi Kusama(NE),educated(undefined);;Yayoi Kusama (NE),educated,school;Yayoi Kusama (match),notable work,residence;0;0;0;4;16243
10;Which High School did Allen Ginsberg attend?;undefined;High School(undefined),Allen Ginsberg(NE),attend(undefined);;Allen Ginsberg (NE),attend,High School;Allen Ginsberg (match),educated at,Colonial Colleges;0;0;0;4;47509
40;How is the Harz called in Mandarin Chinese?;undefined;Harz(NE),called(undefined),Mandarin Chinese(NE);;Mandarin Chinese (NE);Mandarin Chinese (match);0;0;0;148;204318
125;In which federal state is the Veltins brewery headquarter?;undefined;state(undefined),Veltins brewery(undefined);;;;0;0;0;1;43154
126;In which stadium do the New York Yankees play?;undefined;stadium(undefined),New York Yankees(NE),play(undefined);;New York Yankees (NE),stadium,play;New York Yankees (match),home venue,sport;0;0;0;4;45042
127;In which countries is the Himalayas located?;undefined;countries(undefined),Himalayas(NE),located(undefined);;Himalayas (NE),countries,located;Himalayas (match),country,area;0;0;0;6;47695
130;In which country did the United Fruit Company have their headquarters?;undefined;country(undefined),United Fruit Company(NE),headquarters(undefined);;United Fruit Company (NE),country,headquarters;United Fruit Company (match),country,coordinate location;0;0;0;7;38821
133;In which country was Spotify created?;undefined;country(undefined),Spotify(NE),created(undefined);;Spotify (NE),created,country;Spotify (match),form of creative work,partially coincident with;0;0;0;4;94047
138;In which year did ABBA publish their album The Visitors ?;undefined;year(undefined),ABBA(NE),publish(undefined),album(undefined),The Visitors(NE);;ABBA (NE),year,publish,album,The Visitors (NE);ABBA (match),member category,category combines topics,notable work,The Visitors (match);0;0;0;16;86461
139;In which year was the author of “The Vanishing Half” born?;undefined;year(undefined),author(undefined),The Vanishing Half”(NE),born(undefined);;The Vanishing Half” (NE),year,author,born;The Vanishing Half” (match),publication date,time of earliest written record,category for people born here;0;0;0;6;62253
163;Of which political party was Joseph Beuys a member?;undefined;party(undefined),Joseph Beuys(NE),member(undefined);;Joseph Beuys (NE),party,member;Joseph Beuys (match),member of political party,member count;0;0;0;4;26494
164;In what year did the Hollywood Walk of Fame open?;undefined;year(undefined),Hollywood Walk of Fame(NE);;Hollywood Walk of Fame (NE),year;Hollywood Walk of Fame (match),visitors per year;0;0;0;3;5526
165;on which video streaming services can i watch hunter x hunter anime series?;undefined;video streaming services(undefined),watch(undefined),hunter x hunter anime series(undefined);;;;0;0;0;1;61676
167;In what year did the district of Höxter come into existence?;undefined;year(undefined),district(undefined),Höxter(NE),come(undefined),existence(undefined);;Höxter (NE),year,district,come,existence;Höxter (match),significant event,country,start point,human migration;0;0;0;6;83336
173;Through which countries does the Danube go?;undefined;countries(undefined),Danube(NE),go(undefined);;Danube (NE),go,countries;Danube (match),next crossing downstream,country;1;0.1;0.18181818181818182;4;60084
174;What do sperm whales mainly eat?;undefined;sperm whales(undefined),eat(undefined);;;;0;0;0;1;30431
184;Which river flows through the Grand Canyon?;undefined;river(undefined),flows(undefined),Grand Canyon(NE);;Grand Canyon (NE),flows,river;Grand Canyon (match),drainage basin,drainage basin;0;0;0;4;33919
189;What are the professions of John Lennon’s sons?;undefined;professions(undefined),John Lennon’s(NE),sons(undefined);;John Lennon’s (NE),sons,professions;John Lennon’s (match),father,notable work;0;0;0;4;51650
192;What colors does the German national flag have?;undefined;colors(undefined),German(NE),flag(undefined);;German (NE),colors,flag;German (match),bathymetry image,image;0;0;0;6;92173
198;What instruments did Louis Armstrong play?;undefined;instruments(undefined),Louis Armstrong(NE),play(undefined);;Louis Armstrong (NE),play,instruments;Louis Armstrong (match),league,competition class;0;0;0;4;28488
200;What is the binary gender of the partner of Allen Ginsberg ?;undefined;gender(undefined),partner(undefined),Allen Ginsberg(NE);;Allen Ginsberg (NE),partner,gender;Allen Ginsberg (match),unmarried partner,sex or gender;1;1;1;4;8444
201;What is the capital of the prefecture Tokyo ?;undefined;capital(undefined),prefecture(undefined),Tokyo(NE);;Tokyo (NE),prefecture,capital;Tokyo (match),prefecture of Japan,capital;0.5;1;0.6666666666666666;4;22120
202;What is the Chinese zodiac animal that follows the ox?;undefined;Chinese(NE),zodiac animal(undefined),follows(undefined),ox(undefined);;Chinese (NE);Chinese (match);0;0;0;2;111371
214;What are the occupations of Kazuo Ishiguro’s daughter?;undefined;occupations(undefined),Kazuo Ishiguro’s(NE),daughter(undefined);;Kazuo Ishiguro’s (NE),daughter,occupations;Kazuo Ishiguro’s (match),mother,occupation;1;1;1;4;5552
221;What language do they speak in Poland ?;undefined;language(undefined),speak(undefined),Poland(NE);;Poland (NE),speak,language;Poland (match),languages spoken, written or signed,religion or worldview;0;0;0;4;47899
234;Who was the fellow Hobbit who was an enemy of Frodo?;undefined;Hobbit(NE),enemy(undefined),Frodo(NE);;Frodo (NE);Frodo (match);0;0;0;17;20340
236;What was the main subject addressed in the Deep Purple song “Smoke on the water”?;undefined;subject(undefined),addressed(undefined),Deep Purple song(undefined),Smoke on the water(NE);;Smoke on the water (NE),subject,addressed,Deep Purple song;Smoke on the water (match),participant,given name,Soundex;0;0;0;72;813897
238;What year did the Berlin Wall fall?;undefined;year(undefined),Berlin Wall(NE),fall(undefined);;Berlin Wall (NE),fall,year;Berlin Wall (match),set in period,start time;0;0;0;4;20379
245;When did the brother of the author of Slaughterhouse Five die?;undefined;brother(undefined),author(undefined),Slaughterhouse Five(NE);;Slaughterhouse Five (NE),brother,author;Slaughterhouse Five (match),family name,writing system;0;0;0;4;7224
246;when was the creator of saturday night live born?;undefined;creator(undefined),saturday night live(NE),born(undefined);;saturday night live (NE),creator,born;saturday night live (match),creator,birth name;0;0;0;4;8582
253;when was the magazine in which hunter x hunter is published established?;undefined;magazine(undefined),hunter x hunter(NE),published(undefined),established(undefined);;hunter x hunter (NE),magazine,published,established;hunter x hunter (match),publisher,publisher,inception;0;0;0;5;19461
268;When was the poem Howl written?;undefined;poem Howl(undefined),written(undefined);;;;0;0;0;1;19664
280;Where was K-pop star Lisa Manoban born?;undefined;K pop star Lisa Manoban(undefined),born(undefined);;;;0;0;0;1;11766
