ID;QALD;Keywords Extracted;instrTree;instrPath;Longest QT-Path;Precision;Recall;F1-Score
9;At which school was Yayoi Kusama educated at?;school,Yayoi Kusama,educated;null;Yayoi Kusama (NE);Yayoi Kusama (match);0;0;0
10;Which High School did Allen Ginsberg attend?;High School,Allen Ginsberg,attend;null;Allen Ginsberg (NE),attend,High School;Allen Ginsberg (match),educated at,high school;1;1;1
12;can i play don't starve on play station 4?;play,starve,play station 4;null;play station 4 (NE);play station 4 (match);0;0;0
17;Did Haruki Murakami receive the Nobel Prize in Literature?;Haruki Murakami,receive,the Nobel Prize in Literature;null;Haruki Murakami (NE);Haruki Murakami (match);0;0;0
40;How is the Harz called in Mandarin Chinese?;Harz,called,Mandarin Chinese;null;Harz (NE);Harz (match);0;0;0
125;In which federal state is the Veltins brewery headquarter?;state,Veltins brewery;null;null;null;0;0;0
126;In which stadium do the New York Yankees play?;stadium,the New York Yankees,play;null;the New York Yankees (NE);the New York Yankees (match);0;0;0
127;In which countries is the Himalayas located?;countries,Himalayas,located;null;null;null;0;0;0
130;In which country did the United Fruit Company have their headquarters?;country,the United Fruit Company,headquarters;null;the United Fruit Company (NE),country,headquarters;the United Fruit Company (match),country,headquarters location;0;0;0
133;In which country was Spotify created?;country,Spotify,created;null;Spotify (NE),created;Spotify (match),inception;0;0;0
138;In which year did ABBA publish their album The Visitors ?;year,ABBA,publish,album,The Visitors;null;ABBA (NE),publish;ABBA (match),publication date;0;0;0
139;In which year was the author of “The Vanishing Half” born?;year,author,The Vanishing Half,born;null;null;null;0;0;0
163;Of which political party was Joseph Beuys a member?;party,Joseph Beuys,member;null;null;null;0;0;0
164;In what year did the Hollywood Walk of Fame open?;year,the Hollywood Walk of Fame;null;null;null;0;0;0
165;on which video streaming services can i watch hunter x hunter anime series?;video streaming services,watch,hunter x hunter anime series;null;hunter x hunter anime series (NE);hunter x hunter anime series (match);0;0;0
167;In what year did the district of Höxter come into existence?;year,district,Höxter,come,existence;null;Höxter (NE),existence;Höxter (match),human;0;0;0
173;Through which countries does the Danube go?;countries,Danube,go;null;Danube (NE);Danube (match);0;0;0
174;What do sperm whales mainly eat?;sperm whales,eat;null;null;null;0;0;0
184;Which river flows through the Grand Canyon?;river,flows,the Grand Canyon;null;the Grand Canyon (NE);the Grand Canyon (match);0;0;0
189;What are the professions of John Lennon’s sons?;professions,John Lennon’s,sons;null;John Lennon’s (NE),sons;John Lennon’s (match),child;0;0;0
192;What colors does the German national flag have?;colors,German,flag;null;null;null;0;0;0
198;What instruments did Louis Armstrong play?;instruments,Louis Armstrong,play;null;Louis Armstrong (NE);Louis Armstrong (match);0;0;0
199;what did the author of the phrase: "Alea iacta est" die of?;author,phrase,Alea iacta est,die;null;author,phrase;author,phrase;0;0;0
200;What is the binary gender of the partner of Allen Ginsberg ?;gender,partner,Allen Ginsberg;null;Allen Ginsberg (NE),partner,gender;Allen Ginsberg (match),spouse,sex or gender;1;1;1
201;What is the capital of the prefecture Tokyo ?;capital,prefecture,Tokyo;null;Tokyo (NE);Tokyo (match);0;0;0
202;What is the Chinese zodiac animal that follows the ox?;Chinese,zodiac animal,follows,ox;null;Chinese (NE);Chinese (match);0;0;0
214;What are the occupations of Kazuo Ishiguro’s daughter?;occupations,Kazuo Ishiguro’s,daughter;null;Kazuo Ishiguro’s (NE),daughter;Kazuo Ishiguro’s (match),child;0;0;0
221;What language do they speak in Poland ?;language,speak,Poland;null;Poland (NE);Poland (match);0;0;0
234;Who was the fellow Hobbit who was an enemy of Frodo?;Hobbit,enemy,Frodo;null;Hobbit (NE);Hobbit (match);0;0;0
236;What was the main subject addressed in the Deep Purple song “Smoke on the water”?;subject,addressed,Deep Purple song,Smoke on the water;null;Smoke on the water (NE);Smoke on the water (match);0;0;0
238;What year did the Berlin Wall fall?;year,the Berlin Wall,fall;null;the Berlin Wall (NE);the Berlin Wall (match);0;0;0
245;When did the brother of the author of Slaughterhouse Five die?;brother,author,Slaughterhouse Five;null;Slaughterhouse Five (NE),author,brother;Slaughterhouse Five (match),author,sibling;0;0;0
246;when was the creator of saturday night live born?;creator,saturday night live,born;null;saturday night live (NE);saturday night live (match);0;0;0
253;when was the magazine in which hunter x hunter is published established?;magazine,hunter x hunter,published,established;null;hunter x hunter (NE),published;hunter x hunter (match),published in;0;0;0
268;When was the poem Howl written?;poem Howl,written;null;poem Howl (NE);poem Howl (match);0;0;0
280;Where was K-pop star Lisa Manoban born?;K pop star Lisa Manoban,born;null;null;null;0;0;0
282;Where did the psychedelic band “Khruangbin” form?;band,Khruangbin form;null;null;null;0;0;0
284;Where was Goethe’s unmarried partner born ?;Goethe,partner,born;null;Goethe (NE),partner,born;Goethe (match),spouse,date of birth;0;0;0
286;Where was the author of The Catcher in the Rye born ?;author,The Catcher in the Rye,born;null;The Catcher in the Rye (NE),author,born;The Catcher in the Rye (match),author,date of birth;0;0;0
296;Which businesses are founded by the person in charge of Tesla?;businesses,founded,person,charge,Tesla;null;Tesla (NE),businesses,founded,charge;Tesla (match),business,founded by,chief executive officer;0;0;0
298;Which aircraft did Howard Hughes build?;aircraft,Howard Hughes,build;null;Howard Hughes (NE);Howard Hughes (match);0;0;0
301;Which disease caused the death of Mark Twain?;disease,caused,death,Mark Twain;null;Mark Twain (NE),death;Mark Twain (match),date of death;0;0;0
302;Which diseases can be caused by smoking ?;diseases,caused,smoking;null;diseases,caused;DiseasesDB,has effect;0;0;0
305;Which kingdom preceded the Thonburi Kingdom ?;kingdom,preceded,the Thonburi Kingdom;null;the Thonburi Kingdom (NE),preceded;the Thonburi Kingdom (match),follows;0;0;0
307;Which movements is the painting “Les Demoiselles d'Avignon” assigned to?;movements,painting,Les Demoiselles d'Avignon”,assigned;null;Les Demoiselles d'Avignon” (NE),painting;Les Demoiselles d'Avignon” (match),painting;0;0;0
