ID;QALD;IDS SPARQL;Keywords Extracted;instrTree.txt;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Nb Call;Runtime
1;Which animal participated in a military operation with the Australian Defence Force?;undefined;animal(undefined),participated(undefined),operation(undefined),Australian Defence Force(NE);;Australian Defence Force (NE),operation,participated,animal;Australian Defence Force (match),commanded by,named after,human;0;0;0;16;609573
3;among the founders of tencent company, who has been member of national people's congress?;undefined;founders(undefined),tencent company(NE),member(undefined),national people congress(NE);;national people congress (NE),founders;national people congress (match),organization;0;0;0;95;1044401
9;At which school was Yayoi Kusama educated at?;undefined;school(undefined),Yayoi Kusama(NE),educated(undefined);;Yayoi Kusama (NE),educated,school;Yayoi Kusama (match),educated at,university;1;1;1;4;376953
10;Which High School did Allen Ginsberg attend?;undefined;High School(undefined),Allen Ginsberg(NE),attend(undefined);;High School,attend;secondary school,public school (United Kingdom);0;0;0;96;1258089
36;In which manner did Hemingway die?;undefined;manner(undefined),Hemingway(NE),die(undefined);;manner;bowl barrow;0;0;0;135;6562875
39;How high is the Cologne Cathedral ?;undefined;Cologne Cathedral(NE);;Cologne Cathedral (NE);Cologne Cathedral (match);0;0;0;2;6138
125;In which federal state is the Veltins brewery headquarter?;undefined;state(undefined),Veltins brewery(undefined);;;;0;0;0;1;5766
126;In which stadium do the New York Yankees play?;undefined;stadium(undefined),New York Yankees(NE),play(undefined);;New York Yankees (NE),stadium,play;New York Yankees (match),baseball team,league;0;0;0;4;138086
127;In which countries is the Himalayas located?;undefined;countries(undefined),Himalayas(NE),located(undefined);;Himalayas (NE),countries,located;Himalayas (match),country,located in or next to body of water;0;0;0;4;100049
130;In which country did the United Fruit Company have their headquarters?;undefined;country(undefined),United Fruit Company(NE),headquarters(undefined);;United Fruit Company (NE),country,headquarters;United Fruit Company (match),country,office held by head of government;0;0;0;5;308622
133;In which country was Spotify created?;undefined;country(undefined),Spotify(NE),created(undefined);;Spotify (NE),created,country;Spotify (match),creator,country;1;1;1;4;80602
138;In which year did ABBA publish their album The Visitors ?;undefined;year(undefined),ABBA(NE),publish(undefined),album(undefined),The Visitors(NE);;ABBA (NE),year,publish,album,The Visitors (NE);ABBA (match),performer,published in,album,The Visitors (match);0;0;0;187;3594469
139;In which year was the author of “The Vanishing Half” born?;undefined;year(undefined),author(undefined),The Vanishing Half”(NE),born(undefined);;The Vanishing Half” (NE),year,author,born;The Vanishing Half” (match),instance of,published in,headquarters location;0;0;0;7;358245
163;Of which political party was Joseph Beuys a member?;undefined;party(undefined),Joseph Beuys(NE),member(undefined);;Joseph Beuys (NE),member,party;Joseph Beuys (match),member of political party,political party in Germany;1;1;1;4;121584
164;In what year did the Hollywood Walk of Fame open?;undefined;year(undefined),Hollywood Walk of Fame(NE);;Hollywood Walk of Fame (NE),year;Hollywood Walk of Fame (match),inception;0;0;0;3;74655
165;on which video streaming services can i watch hunter x hunter anime series?;undefined;video streaming services(undefined),watch(undefined),hunter x hunter anime series(undefined);;;;0;0;0;1;8103
167;In what year did the district of Höxter come into existence?;undefined;year(undefined),district(undefined),Höxter(NE),come(undefined),existence(undefined);;Höxter (NE),existence,year;Höxter (match),human,instance of;0;0;0;333;5228713
171;Tell me all the cast members of the film Red Notice directed by Rawson Marshall Thurber ?;undefined;Tell(undefined),cast members(undefined),film Red Notice(undefined),directed(undefined),Rawson Marshall Thurber(NE);;Rawson Marshall Thurber (NE),cast members,Tell,film Red Notice,directed;Rawson Marshall Thurber (match),cast member,narrator,film,film editor;0;0;0;58;768247
173;Through which countries does the Danube go?;undefined;countries(undefined),Danube(NE),go(undefined);;Danube (NE),go,countries;Danube (match),meander,country;1;0.1;0.18181818181818182;4;296470
174;What do sperm whales mainly eat?;undefined;sperm whales(undefined),eat(undefined);;eat;probiotics;0;0;0;63;820880
184;Which river flows through the Grand Canyon?;undefined;river(undefined),flows(undefined),Grand Canyon(NE);;Grand Canyon (NE),river,flows;Grand Canyon (match),water area,watershed area;0;0;0;4;142808
185;What was the key event related to Salvador Dalí?;undefined;event(undefined),related(undefined),Salvador Dalí(NE);;Salvador Dalí (NE),event,related;Salvador Dalí (match),significant event,described by source;0;0;0;10;178098
189;What are the professions of John Lennon's sons?;undefined;professions(undefined),John Lennon(NE),sons(undefined);;John Lennon (NE),sons,professions;John Lennon (match),father,occupation;1;1;1;7;128640
192;What colors does the German national flag have?;undefined;colors(undefined),German(NE),flag(undefined);;German (NE),flag,colors;German (match),flag,color;0.75;1;0.8571428571428571;4;186128
198;What instruments did Louis Armstrong play?;undefined;instruments(undefined),Louis Armstrong(NE),play(undefined);;Louis Armstrong (NE),play,instruments;Louis Armstrong (match),musical group,performer;0;0;0;4;249877
199;what did the author of the phrase: "Alea iacta est" die of?;undefined;author(undefined),phrase(undefined),Alea(undefined),die(undefined);;;;0;0;0;1;10637
200;What is the binary gender of the partner of Allen Ginsberg ?;undefined;gender(undefined),partner(undefined),Allen Ginsberg(NE);;Allen Ginsberg (NE),partner,gender;Allen Ginsberg (match),spouse,human;0;0;0;4;83636
201;What is the capital of the prefecture Tokyo ?;undefined;capital(undefined),prefecture(undefined),Tokyo(NE);;Tokyo (NE),prefecture,capital;Tokyo (match),prefecture of Japan,capital;0.5;1;0.6666666666666666;4;271100
